log_id,user_id,action_type,table_name,record_id,old_values,new_values,action_timestamp
d9f8535b-6471-42e7-8373-664e7168f994,661cc2b4-a816-44dd-9c5d-4b28e74c5d64,CREATE,campaigns,CAMP-004,,"{'campaign_id': 'CAMP-004', 'campaign_name': 'test 4', 'campaign_type': 'IPO', 'description': 'Xxxxxxx\n\nPriority:\n- High = ลูกค้าที่.....\n- Medium = ลูกค้าที่....\n- Low = ลูกค้าที่....', 'start_date': '2025-08-30', 'end_date': '2025-09-30', 'target_amount': 0, 'image_path': None, 'document_path': None, 'created_by': '661cc2b4-a816-44dd-9c5d-4b28e74c5d64', 'created_at': '2025-08-30 01:06:44', 'status': 'Active'}",2025-08-30 01:06:44
c888957a-7880-4426-ab16-7603e96fdff1,661cc2b4-a816-44dd-9c5d-4b28e74c5d64,IMPORT,leads,CAMP-004,,{'imported': 17},2025-08-30 01:06:44
